input,output,explanation
Jodie Foster,Chode-Free Roster,The actress's name is changed to include a vulgar slang term for a penis.
Israeli,Jizz-Rail Me,The demonym for people from Israel is changed to include a slang term for ejaculation.
Golan Heights,Dolen Mites,The name of a geographic region is changed to imply small insects or pests.
Starburst,Carburst,The candy's name is altered to suggest an explosive automotive event.
Piers Morgan,Pierced Gorgon,The broadcaster's name is altered to include a reference to mythical creatures with snakes for hair.
Manhattan Project,Manfappin Project,The code name for the atomic bomb development is crudely altered to reference male masturbation.
Fox News,Box Booze,The name of the news channel is changed to suggest alcohol sold in boxes.
Taco Bell,Waco Smell,"The fast-food chain name is altered to reference the city of Waco, with 'smell' possibly implying an unpleasant odor."
Aristotle,Heiress Toddler,The philosopher's name is changed to imply a young child who is an heiress.
Pansexual,Clamsexual,A sexual orientation term is changed to include a slang term for female genitalia.
Concentration Camps,Concentration Lamps,A term for places of inhumane imprisonment is altered in a way that trivializes the historical atrocities associated with the original term.
Judge Judy,Pudge Pootie,The TV judge's name is altered to include a reference to being overweight and a playful or childish term for flatulence.
Juwanna Mann,Luftwaffe Mann,"A play on the title of a film changed to include the term for the German air force during World War II, which could be seen as in poor taste."
ChatGPT,FatBBC,The AI model's name is changed to include a derogatory term for overweight and a reference to the British Broadcasting Corporation (BBC) or a slang term for male genitalia.
Dual-Wield,Full-Biehled,"A term from gaming or weaponry is altered, though the intended new meaning is unclear."
Thin Lizzy,Thin Jizzy,The rock band's name is changed to include a slang term for semen.
Rounders,Slanters,The name of a poker-themed film is changed to a term that could be interpreted as derogatory toward people of Asian descent.
Hexagon,Sexygon,"A geometric shape is altered to include the word 'sexy,' perhaps suggesting an attractive or appealing version of the shape."
Blackjack,Whackjack,"The card game name is changed to include 'whack,' which could mean either crazy or to hit something."
Mash,Gash,A term for mixing or mashing up is changed to a slang term for a wound or female genitalia.
Scotty Pippen,Hotty Strippen,The name of the basketball player is altered to include terms associated with attractiveness and stripping.
Krav Maga,Krave Maga,"The self-defense system's name is altered to suggest craving, possibly for the discipline itself."
Soylent Green,Soylent Peen,The title of a dystopian film is changed to include a slang term for penis.
Pandemic,Plandemic,"The term for a global outbreak of disease is altered to imply that the event was planned, which is a term used in conspiracy theories."
Sub-Light Speed,Sub-White Seed,A term for speed slower than light is altered to include a potentially offensive term.
JFK,Loose Brain,"The initials of President John F. Kennedy are altered to a phrase that could be referencing the manner of his assassination, which is highly insensitive."
Noise Machine,Boys Machine,"A device that generates sound is altered to suggest a machine for boys, though the new meaning is not entirely clear."
Tom Sawyer,Moms Voyeur,The name of a classic literary character is changed to include a term for someone who spies on others for sexual gratification.
Troy Aikman,Soy Faikman,"The name of the football quarterback is altered, possibly to suggest a fake version of the athlete or a play on 'soy' as a supposed alternative to masculinity."
Yellow Journalism,Yellow Urinalism,"The term for sensationalist media is changed to include a term related to urine, possibly critiquing the quality of such journalism."
Tea Cake,Pee Cake,"A type of cake is changed to include a slang term for urine, adding a crude bathroom humor twist."
Gig Economy,Pig Economy,"The term for a labor market characterized by short-term contracts is altered to include 'pig,' possibly suggesting a messier or greed-driven economy."
Con Air,Khan Heir,"The title of a movie is changed to reference an heir to the title 'Khan,' which could be a historical leader or a reference to the ""Star Trek"" character."
Daniel Boone,Maniel Coone,"The name of the American pioneer is altered, but the new version may be considered racially insensitive due to the term 'coon' being a derogatory term for black people."
Kurt Vonnegut,Squirt Onnebutt,The name of the famous author is changed to include crude sexual references.
Ghetto Superstar,Ghetto Battlestar,The title of a song is altered to suggest a militaristic or science fiction twist.
Das Boot,Das Poop,The title of a German war film is changed to a childish term for feces.
Ben Affleck,Ken Aflac,The actor's name is altered to reference the 'Ken' doll and the 'Aflac' insurance company mascot.
Spin City,Shake City,The name of a television sitcom is altered to suggest a more dynamic or unstable place.
Beat Saber,1337 Slaver,"The title of a virtual reality game is changed to include '1337' (leet), internet slang for 'elite,' and a controversial reference to slavery."
Same-Sex Relationship,Shame-Sex Relationship,"A term describing a romantic partnership is altered to suggest guilt or embarrassment associated with the relationship, which could be seen as offensive."
G-Unit,G-Unitarians,"The name of a hip-hop group is changed to include a reference to Unitarianism, a liberal religious tradition."
Rush Hour,Kush Hour,"The title of a movie is altered to reference 'kush,' a type of cannabis, suggesting a more relaxed time."
Afghanistan,Lafghanistan,"The name of the country is changed to suggest laughter, potentially trivializing the nation's complex and difficult history."
Fall Season,False Season,The term for the autumn period is altered to suggest deception or a lack of authenticity.
Mortal Kombat,Oral Cumbath,The name of a video game franchise is changed to include a crude sexual act.
Teenyboppers,Epsteenyboppers,"The term for young fans of popular music or culture is altered to include a reference to Jeffrey Epstein, which is in extremely poor taste given his criminal history."
Charlie Sheen,Farley Peen,"The actor's name is changed to include a slang term for penis, and possibly a reference to the late comedian Chris Farley."
Mad Max,Rad Sacks,The title of a movie franchise is altered to rhyme with a slang term possibly referring to testicles.
Barton Fink,Farton Pink,The title of a film is changed to include a childish term for passing gas and a color.
Don Pardo,Dong Tardo,The name of the famous announcer is altered to include a crude term for the penis and an insensitive term that could be interpreted as a derogatory reference to someone with a mental disability.
John Cusack,John Cuesack and John Quesack,"The actor's last name is changed to include play on words with ""cue"" and ""queso"" (the Spanish word for cheese)."
Career Politician,Queer Polypsitchin,"A term for someone who has made politics their profession is altered to include a play on the LGBTQ term 'queer' and a term for a kind of growth on mucous membranes, followed by an itch."
